ts,side,price,size
1757080680000,buy,113065.1085,0.017688
1757081220000,sell,112687.92307799999,0.017688
1757081460000,buy,112414.02831,0.017775
1757088120000,sell,110644.554486,0.017775
1757088180000,buy,110578.1112,0.01801
1757091900000,sell,110584.6125,0.01801
1757092020000,buy,110556.876954,0.01801
